N;DELAY;BUF_SIZE;TIMEOUT;TIME;DEADLOCK;DEADLOCK DETECTION;SEGFAULT;ABORT;RIGHT RESULT;KILLED
13;3;69732224;30;3.85;False;False;False;False;True;0
21;2;69532032;30;3.14;False;False;False;True;True;21
9;2;52553472;30;3.04;False;False;False;True;True;2
20;2;51940992;30;4.0;False;False;False;False;True;1
28;2;72776576;30;3.54;False;False;False;True;True;28
19;3;75128832;30;4.66;False;False;False;False;True;0
19;2;77604864;30;3.28;False;False;False;True;True;19
28;3;70058752;30;4.48;False;False;False;False;True;1
20;3;54643456;30;3.85;False;False;False;False;True;0
20;3;56684672;30;3.77;False;False;False;False;True;0
30;2;50872192;30;3.67;False;False;False;True;True;2
29;2;76364416;30;3.78;False;False;False;True;True;29
8;2;57665280;30;2.89;False;False;False;False;True;0
15;3;64276096;30;4.18;False;False;False;False;True;0
22;3;72861312;30;4.62;False;False;False;False;True;1
24;2;60092544;30;3.87;False;False;False;False;True;1
5;3;64479744;30;3.27;False;False;False;False;True;0
15;2;63005824;30;3.83;False;False;False;True;True;2
26;2;59024896;30;4.04;False;False;False;False;True;1
31;3;66074112;30;4.38;False;False;False;False;True;1
31;3;63170304;30;4.41;False;False;False;False;True;1
8;3;68855296;30;3.15;False;False;False;False;True;0
25;2;77022208;30;3.43;False;False;False;True;True;25
14;3;61847552;30;3.68;False;False;False;False;True;0
8;2;72917248;30;3.04;False;False;False;False;True;0
14;3;73064960;30;4.25;False;False;False;False;True;1
29;2;67587328;30;4.82;False;False;False;False;True;1
30;2;56812032;30;4.15;False;False;False;False;True;1
19;3;75736448;30;4.35;False;False;False;False;True;0
22;3;74125568;30;4.43;False;False;False;False;True;0
16;2;53292160;30;2.9;False;False;False;False;True;0
17;2;73795456;30;3.27;False;False;False;True;True;17
14;3;67026176;30;3.92;False;False;False;False;True;0
31;3;78056448;30;5.08;False;False;False;False;True;1
30;3;51992192;30;3.76;False;False;False;False;True;0
32;2;50340736;30;2.98;False;False;False;False;True;0
7;2;72040192;30;4.04;False;False;False;False;True;1
4;3;61517568;30;2.6;False;False;False;False;True;0
8;2;51625216;30;2.39;False;False;False;False;True;0
18;3;69758464;30;4.28;False;False;False;False;True;0
22;2;51719424;30;3.28;False;False;False;False;True;1
19;2;56658432;30;3.42;False;False;False;True;True;2
25;2;60594048;30;4.51;False;False;False;False;True;1
16;3;59109376;30;3.0;False;False;False;False;True;0
14;2;62931968;30;4.12;False;False;False;False;True;1
26;2;72023552;30;5.39;False;False;False;False;True;1
26;2;58832896;30;4.06;False;False;False;False;True;1
21;3;60072192;30;3.85;False;False;False;False;True;0
29;3;54006016;30;3.81;False;False;False;False;True;0
13;2;78573696;30;3.43;False;False;False;True;True;13
7;2;65061248;30;3.52;False;False;False;True;True;2
30;2;62868864;30;3.53;False;False;False;True;True;30
30;2;79712768;30;3.69;False;False;False;True;True;30
16;2;75722240;30;3.5;False;False;False;True;True;16
16;3;68948224;30;3.48;False;False;False;False;True;0
19;3;56977664;30;3.82;False;False;False;False;True;0
